,Gene,EffectSize,StdEffect,P-Value,FDR,pBH
0,ENSG00000000003,-0.016426381917839954,-0.032835005193096956,0.8897966847939329,False,1.0
1,ENSG00000000419,0.08049670030754069,0.20623292136836713,0.3865267772805068,False,1.0
2,ENSG00000000457,-0.026157269359322378,-0.11410893718395168,0.624537927975951,False,1.0
3,ENSG00000000460,-0.010873405307397277,-0.04762000168553843,0.84689655985978,False,1.0
4,ENSG00000000938,-0.024410507278019248,-0.07206644767849905,0.760519080753487,False,1.0
5,ENSG00000000971,-0.11889338187916837,-0.187816721885964,0.4316000700036935,False,1.0
6,ENSG00000001036,-0.020037275037866564,-0.07185432000438528,0.7663404146737942,False,1.0
7,ENSG00000001084,-0.04397364844231449,-0.13830493360548562,0.5613723982218528,False,1.0
8,ENSG00000001167,0.09408236551295997,0.4889946299638166,0.041291912793316204,False,1.0
9,ENSG00000001460,0.003568839750141571,0.023949158993956464,0.9160902677507283,False,1.0
10,ENSG00000001461,0.009236478344454215,0.03228387140598023,0.8946958829192596,False,1.0
11,ENSG00000001497,-0.052566759020984996,-0.18600554390315335,0.4365343730639951,False,1.0
12,ENSG00000001561,-0.11330656701335143,-0.19668065667401677,0.38531895387131243,False,1.0
13,ENSG00000001617,0.033077052012488804,0.10325665766029869,0.6769278126407237,False,1.0
14,ENSG00000001626,0.03568809248078302,0.13827976871354591,0.5732589422636724,False,1.0
15,ENSG00000001629,0.019523407871657784,0.06092752974631156,0.812380139757966,False,1.0
16,ENSG00000001630,-0.11073070044351925,-0.18102810420693152,0.4739642689943474,False,1.0
17,ENSG00000001631,0.0421156111077071,0.17433136989289175,0.48650930055395447,False,1.0
18,ENSG00000002016,-0.036870026367389924,-0.12194946658804345,0.6116727281101301,False,1.0
19,ENSG00000002079,0.06521226746800451,0.2726596004140454,0.26146063149097787,False,1.0
20,ENSG00000002330,0.07726573771425961,0.20950255996540357,0.376552660271682,False,1.0
21,ENSG00000002549,0.08209650073838141,0.2390765885044849,0.3352773915844789,False,1.0
22,ENSG00000002586,0.13914260779389742,0.24928894721329836,0.2573806048862294,False,1.0
23,ENSG00000002587,0.15622400792150726,0.2992993073908267,0.18101367382075118,False,1.0
24,ENSG00000002745,-0.009583866154762507,-0.016267407879515774,0.9427526122671015,False,1.0
25,ENSG00000002746,-0.036172180460773744,-0.10181928208123271,0.669844397701674,False,1.0
26,ENSG00000002822,-0.084912662688486,-0.31505460649544215,0.1737048284920556,False,1.0
27,ENSG00000002834,-0.04410373517640093,-0.11726444384713079,0.5947327462694343,False,1.0
28,ENSG00000002919,-0.01007173220797776,-0.041057035676917195,0.8611949339697115,False,1.0
29,ENSG00000002933,0.048543796533435137,0.14499477097504268,0.5272881134091449,False,1.0
30,ENSG00000003056,-0.024053561826536854,-0.07570718549258272,0.7598521733831509,False,1.0
31,ENSG00000003096,-0.09678255650700132,-0.18310397678114965,0.45711396121863435,False,1.0
32,ENSG00000003137,0.04813430736439727,0.055165996387667046,0.7913107656926089,False,1.0
33,ENSG00000003147,0.034880412993942546,0.09693906325866741,0.6708051681076396,False,1.0
34,ENSG00000003249,-0.10058301606088485,-0.20899040394297178,0.3833473105345737,False,1.0
35,ENSG00000003393,0.03393379653223709,0.0809576667608111,0.7311690146582653,False,1.0
36,ENSG00000003400,-0.02118100632190896,-0.07664680669098292,0.7484116411893535,False,1.0
37,ENSG00000003402,0.06551648963583219,0.20701265708836783,0.39534224255855166,False,1.0
38,ENSG00000003436,0.06020479839952002,0.25945310322476056,0.30213009627955933,False,1.0
39,ENSG00000003509,0.0016904408835021266,0.007848489148639472,0.973781120761338,False,1.0
40,ENSG00000003756,-0.05898637824953314,-0.2907226094198265,0.22584044937402226,False,1.0
41,ENSG00000003987,-0.052585877443042155,-0.20290895386333582,0.3977887428082326,False,1.0
