,Gene,EffectSize,P-Value,FDR,pBH
578,ENSG00000047621,-8.629290236814354,6.173385709127266e-18,True,5.435819912430618e-13
1711,ENSG00000089327,5.132317037939833,2.8619688628040913e-07,True,0.010800149498552328
6714,ENSG00000137804,5.040223812599112,4.6498772907784334e-07,True,0.015353747982773624
12906,ENSG00000182040,9.096802719547508,9.303013022783837e-20,True,1.2287302094234145e-14
13877,ENSG00000187815,7.684575167043495,1.5350552722240163e-14,True,1.0137408071433154e-09
14966,ENSG00000200156,5.904621298121745,3.534577312612096e-09,True,0.0001867370027715815
18846,ENSG00000233900,-9.467156464268585,2.8756514168120117e-21,True,7.596248138005563e-16
19852,ENSG00000239084,-5.85918213490833,4.651523137361168e-09,True,0.0002047891002162418
24825,ENSG00000271862,4.942077883050378,7.729432478737466e-07,True,0.022686526194526324
