,Gene,EffectSize,StdEffect,P-Value,FDR,pBH
0,ENSG00000000003,0.25484443708428417,0.6196291342179815,0.004243568967003371,False,1.0
1,ENSG00000000419,0.0006886319234425091,0.0014852925702530258,0.9953914475985514,False,1.0
2,ENSG00000000457,-0.03784643565302584,-0.14472770432613147,0.5530665872192992,False,1.0
3,ENSG00000000460,0.004172479152980776,0.02135884152128681,0.9313173984086126,False,1.0
4,ENSG00000000938,0.32963902428126696,0.5401007545981755,0.02543208586889641,False,1.0
5,ENSG00000000971,0.29189858066872065,0.3928575677455012,0.1212284259895331,False,1.0
6,ENSG00000001036,0.12010325977324415,0.35704845218751396,0.09824035998446631,False,1.0
7,ENSG00000001084,0.0394596810879833,0.1367042634067991,0.562101729454106,False,1.0
8,ENSG00000001167,0.17774186325397062,0.7023827229526167,0.0008231509052806989,False,0.6753277131935754
9,ENSG00000001460,-0.14361076965265696,-0.6382048428177947,0.003441317105139245,False,1.0
10,ENSG00000001461,-0.17507047761111014,-0.5081884893618805,0.03730184722107378,False,1.0
11,ENSG00000001497,0.03092712694956255,0.12015887369645156,0.6137719462903076,False,1.0
12,ENSG00000001561,-0.07341947173396236,-0.13894854765065945,0.5717858770563761,False,1.0
13,ENSG00000001617,0.17137629919716393,0.3625807774738394,0.13960297071297034,False,1.0
14,ENSG00000001626,-0.02094182347515847,-0.07656214787098556,0.7542954433368034,False,1.0
15,ENSG00000001629,0.043920012118697324,0.15754376261535805,0.4521654872842178,False,1.0
16,ENSG00000001630,-0.24925830277187916,-0.46011772243943544,0.05827768006669086,False,1.0
17,ENSG00000001631,0.012520862541751922,0.0496280504941633,0.830687740055813,False,1.0
18,ENSG00000002016,0.09067583028685473,0.25809886013969685,0.28179182479791554,False,1.0
19,ENSG00000002079,0.06138641724283472,0.22194980123144764,0.3898666505577274,False,1.0
20,ENSG00000002330,-0.07465920334943628,-0.1958642002913834,0.4287923664844647,False,1.0
21,ENSG00000002549,0.29067670535693035,0.5106166919522478,0.022476882332896967,False,1.0
22,ENSG00000002586,0.42468781313158277,0.6021442630846922,0.003307303831474951,False,1.0
23,ENSG00000002587,-0.22412651214218682,-0.44716122729410535,0.08303742584397779,False,1.0
24,ENSG00000002745,0.010611599041322963,0.03227102684399331,0.8942091212151767,False,1.0
25,ENSG00000002746,-0.3445322138629816,-0.6531762689177689,0.005035082446592865,False,1.0
26,ENSG00000002822,-0.16340275335393142,-0.5355051016237297,0.014662772291475924,False,1.0
27,ENSG00000002834,-0.09269496747065634,-0.21509057230444972,0.3042417905530942,False,1.0
28,ENSG00000002919,-0.04587647112005326,-0.18762037524290873,0.45799874722161826,False,1.0
29,ENSG00000002933,0.4848651880817052,0.8447609519178056,0.00015239138088061065,False,0.327374033219305
30,ENSG00000003056,-0.01174628268499745,-0.026728814119160706,0.914686640034116,False,1.0
31,ENSG00000003096,0.004294951365275654,0.010894526947918216,0.9448816750811829,False,1.0
32,ENSG00000003137,-0.6310365281000899,-0.7305587533884212,0.0003403428014909907,False,0.479088427425381
33,ENSG00000003147,-0.26228006147506594,-0.6477279890839092,0.006116407408433252,False,1.0
34,ENSG00000003249,-0.3354641949968394,-0.5334846902258579,0.017850778259922713,False,1.0
35,ENSG00000003393,-0.15913107376706145,-0.3857005664642671,0.10819267881671422,False,1.0
36,ENSG00000003400,0.12093538423428576,0.30550804800580156,0.21796460562489284,False,1.0
37,ENSG00000003402,0.2658686390071455,0.5795528974613878,0.009499479439704564,False,1.0
38,ENSG00000003436,0.19252507990046672,0.5916385044045175,0.01310779409481235,False,1.0
39,ENSG00000003509,-0.022079074920786403,-0.07902048012822502,0.908615155572903,False,1.0
40,ENSG00000003756,0.0009965249923552964,0.005286827137785494,0.9764307143348566,False,1.0
41,ENSG00000003987,-0.1893834385512874,-0.3985649161071243,0.07613212902197304,False,1.0
