,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage
5101,ENSG00000124664,-5.938900230898489,2.86940411545704e-09,True,0.000384609993027809,True,3.592637422757987e-05,True,3.770762856735272e-05
21697,ENSG00000253640,12.636276750033492,1.3321412494311854e-36,True,3.5711584429380867e-31,True,3.335814902700631e-32,True,3.5012068995237607e-32
