,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage
885,ENSG00000066084,5.595508782656058,2.199757113273849e-08,True,0.001333951747209019,True,0.00012567762327411817,True,0.0001319384069881347
4254,ENSG00000117477,-7.356633370832246,1.8860643333319397e-13,True,1.5249676415728578e-08,True,1.4367409403211605e-09,True,1.5083139383305521e-09
10571,ENSG00000167685,-34.03509519153944,6.7444254327962435e-254,True,1.6359511758295626e-248,True,1.5413035441569256e-249,True,1.6180854554965943e-249
22659,ENSG00000271410,-11.424446311761486,3.15661077847664e-30,True,3.8283921782082084e-25,True,3.6069013060263326e-26,True,3.7865834830641693e-26
