,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage
624,ENSG00000049860,-5.06251578461937,4.1375979568437495e-07,True,0.013448885932593687,True,0.001259536538037698,True,0.0013219159992345637
2825,ENSG00000105251,11.01014795311689,3.4144254431692465e-28,True,4.4393117735931783e-23,True,4.157575140875033e-24,True,4.363482067225355e-24
4168,ENSG00000116329,5.34565884640968,9.008875065749479e-08,True,0.0033465747698882675,True,0.0003134187635374244,True,0.0003289410552757108
4963,ENSG00000124151,-15.17183471771724,5.433645462933539e-52,True,1.412925640264821e-46,True,1.323255679588205e-47,True,1.3887908775166466e-47
14704,ENSG00000198003,6.815019736387384,9.425082541049478e-12,True,4.0847165053077505e-07,True,3.825483918702966e-08,True,4.0149437862489626e-08
16580,ENSG00000223724,7.6632311672333415,1.8131256600213682e-14,True,1.1786800185722765e-09,True,1.1038762299625096e-10,True,1.1585465014263039e-10
17196,ENSG00000226751,-6.843241353098561,7.74210477759426e-12,True,4.026401216090347e-07,True,3.77086955297506e-08,True,3.957624604420189e-08
18196,ENSG00000231858,-8.866220324191907,7.567067479816811e-19,True,6.558950608011019e-14,True,6.142693144532627e-15,True,6.44691448077953e-15
