SNRNP200
CTNND2
DAP-DT
CASP8AP2
RBMX2P4
ETV1
DGKB
CACNA2D1
TRAPPC9
RSU1
LINC02386
NTS
MGAT4C
PLXNC1
LINC00430
UBBP5
RNU6-976P
LINC02329
LINC02853
COX6CP4
ARRDC4
LINC00923
C16orf78
LINC02179
SKINT1L
LINC02794
PKLR
CRTAP
PTPRG
SYNPR
GABRB1
UNC5C
JKAMPP1
AKAP8P1
ENO4
KRT18P14
TRIM44
FGF19
LTO1
LINC02550
TSC2
PHF21B
NUP50-DT
DNAH6
RBMS3
NPFFR2
GC
GLO1
AQP7
AQP3
LINC02645
PFKP-DT
ZWINT
GAPDHP21
MS4A13
MRPL48
CASP4
RNU6-741P
PWRN4
PKD1
MARCHF2
HSPA4L
ACVR2B-AS1
XYLB
KRT18P54
TARS2P1
PDGFC
LINC02477
RPS14P7
FAT1
LINC02200
H2BC4
NRG1
PRR13P7
RN7SKP231
CFAP418-AS1
MRPS33P3
RPF2P2
HTR1A
ISCA1P1
PCLO
OSTM1
OSTM1
OSTM1
OSTM1
OSTM1
OSTM1-AS1
OSTM1
OSTM1
OSTM1
OSTM1
OSTM1-AS1
OSTM1
OSTM1-AS1
OSTM1
OSTM1-AS1
OSTM1
OSTM1
OSTM1
RPL3P7 - OSTM1
OSTM1
OSTM1
OSTM1
OSTM1
OSTM1
RPL3P7 - OSTM1
OSTM1
OSTM1
RPL3P7 - OSTM1
OSTM1
OSTM1
OSTM1-AS1
OSTM1
RNU6-163P - MANCR
RNU6-163P - MANCR
MANCR
MANCR
MANCR
LINC00705
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
MANCR
MANCR
LINC00705 - AKR1E2
MANCR
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
MANCR
MANCR
MANCR
LINC00705
RNU6-163P - MANCR
LINC00705 - AKR1E2
RNU6-163P - MANCR
MANCR
MANCR
LINC00705
LINC00705 - AKR1E2
RNU6-163P - MANCR
MANCR
MANCR
LINC00705
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
MANCR
MANCR
LINC00705 - AKR1E2
MANCR
MANCR
LINC00705
MANCR
LINC00705
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
MANCR
MANCR
LINC00705 - AKR1E2
RNU6-163P - MANCR
MANCR
MANCR
MANCR
LINC00705
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
RNU6-163P - MANCR
RNU6-163P - MANCR
LINC00705 - AKR1E2
MANCR
MANCR
LINC00705 - AKR1E2
