,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
0,ENSG00000000003,-0.325896699105008,0.7445025132151528,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
1,ENSG00000000419,1.100666274674204,0.27104192949199135,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
2,ENSG00000000457,0.8508636705656595,0.3948450877871573,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
3,ENSG00000000460,0.4709563691771212,0.6376718926302083,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
4,ENSG00000000938,-1.10355389254298,0.269786701404484,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
5,ENSG00000000971,0.13105612809119085,0.8957309064537607,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
6,ENSG00000001036,0.6792065526011832,0.4970069960504109,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
7,ENSG00000001084,-0.05475631915310111,0.9563326004270242,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
8,ENSG00000001167,1.0832558665221457,0.27869486869951543,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
9,ENSG00000001460,-0.14091133455960217,0.8879399878117501,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
10,ENSG00000001461,1.3116763276992158,0.18962936726169632,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
11,ENSG00000001497,-0.7481390351560866,0.4543762989911485,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
12,ENSG00000001561,0.26102051211742355,0.7940766890540361,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
13,ENSG00000001617,-1.7242737271609778,0.0846584398967075,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
14,ENSG00000001626,-0.053344441930098754,0.9574574710479977,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
15,ENSG00000001629,0.6601978980948862,0.5091268409658634,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
16,ENSG00000001630,0.01009011836496354,0.9919493869462954,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
17,ENSG00000001631,-0.06741654356531777,0.9462500992903646,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
18,ENSG00000002016,-0.41791471026403926,0.6760094768853823,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
19,ENSG00000002079,-0.16945905488695615,0.8654355759993593,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
20,ENSG00000002330,0.935721443841914,0.34941662683188457,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
21,ENSG00000002549,0.2685518451952721,0.7882745732130827,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
22,ENSG00000002586,-0.03885997262916653,0.9690020296616876,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
23,ENSG00000002587,0.8425230492479587,0.3994952435480309,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
24,ENSG00000002745,0.7777133602458635,0.4367380141672289,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
25,ENSG00000002746,-0.35087207179549545,0.7256843245561905,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
26,ENSG00000002822,-1.2769228422044585,0.20162948888349141,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
27,ENSG00000002834,-0.7587105500823327,0.4480257244493121,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
28,ENSG00000002919,-0.3357756611900265,0.7370400452114538,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
29,ENSG00000002933,-0.23245286762915426,0.8161862907947601,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
30,ENSG00000003056,0.37651357952753195,0.7065351219684275,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
31,ENSG00000003096,0.08788346556493769,0.9299692983184233,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
32,ENSG00000003137,0.49610650301190495,0.6198192713617463,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
33,ENSG00000003147,0.9252855470021676,0.35481739471062557,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
34,ENSG00000003249,-0.48730215101523616,0.626044223602185,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
35,ENSG00000003393,-0.023748807402377337,0.9810529742918013,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
36,ENSG00000003400,0.49163820380128986,0.6229751309578166,False,1.0,False,0.9997702242553316,False,1.0,-0.0,False
