,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage
3248,ENSG00000108784,5.637047079029931,1.7299083144674192e-08,True,0.0017556162214092945,True,0.00016547359127772434,True,0.00017368617827099114
5496,ENSG00000130164,-5.596924431733192,2.1818775221218926e-08,True,0.0017556162214092945,True,0.00016547359127772434,True,0.00017368617827099114
13861,ENSG00000189280,8.699264320035152,3.340426382300098e-18,True,8.063477464334945e-13,True,7.600138105009182e-14,True,7.977339052098509e-14
15236,ENSG00000206679,-5.26040134591704,1.437413091232874e-07,True,0.0069395620448402,True,0.0006540804530346069,True,0.0006865429902870101
19937,ENSG00000251652,5.30319690336257,1.137920664552059e-07,True,0.006867085653672289,True,0.0006472492739972111,True,0.0006793727743575157
