,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage
578,ENSG00000047621,-8.629290236814354,6.173385709127266e-18,True,5.435819912430618e-13,True,5.0839889109899414e-14,True,5.3327866440439526e-14
1711,ENSG00000089327,5.132317037939833,2.8619688628040913e-07,True,0.010800149498552328,True,0.0010101114674919698,True,0.0010595438025430167
6714,ENSG00000137804,5.040223812599112,4.6498772907784334e-07,True,0.015353747982773624,True,0.0014359983543246497,True,0.0015062725310548454
12906,ENSG00000182040,9.096802719547508,9.303013022783837e-20,True,1.2287302094234145e-14,True,1.1492011987044875e-15,True,1.2054402381804715e-15
13877,ENSG00000187815,7.684575167043495,1.5350552722240163e-14,True,1.0137408071433154e-09,True,9.481268888891637e-11,True,9.945258533112248e-11
14966,ENSG00000200156,5.904621298121745,3.534577312612096e-09,True,0.0001867370027715815,True,1.746505341707889e-05,True,1.831974955704162e-05
18846,ENSG00000233900,-9.467156464268585,2.8756514168120117e-21,True,7.596248138005563e-16,True,7.104584390375756e-17,True,7.452265024925413e-17
19852,ENSG00000239084,-5.85918213490833,4.651523137361168e-09,True,0.0002047891002162418,True,1.9153421771940837e-05,True,2.0090742446811925e-05
24825,ENSG00000271862,4.942077883050378,7.729432478737466e-07,True,0.022686526194526324,True,0.0021218150979965314,True,0.0022256514350900594
